PER,USG%,WS
15.1,21.8,5.1
11.9,21.9,0.9
8.8,15.1,0.9
20.2,18.9,7.5
13.2,13.7,5.8
13.2,19.2,0.9
6.3,12.2,0.6
17.2,22.1,3.2
11.2,13.9,2.1
7.7,16.4,0.8
12.2,21.5,0.9
13.1,17.4,1.1
23.4,22.9,10
13.1,10.4,4.2
12.4,24.4,0.6
30.3,29.5,9.5
8.6,12.5,1.2
10.6,24.5,-0.5
14,15.2,2.4
8.2,13.9,1.4
14.5,22.9,0.7
17.9,15.8,6.8
20,22.1,8.2
21,30.2,8
24.9,24.6,1.7
17.2,26.5,0.7
14.1,22.3,2.7
16.1,22.4,6.8
14.3,17.1,1
20.8,28.4,7.6
13.4,23.2,2
10.5,17.6,0.2
14.6,16.7,6.7
6.9,11.5,1.5
12.4,15.9,1.5
12,17.4,3.8
17.5,25.1,5.9
9,18.6,0.7
15.3,18.1,0.3
14.9,24,1.7
11.5,18.6,1.5
8.8,12.2,0.6
8.9,17.5,0.1
9.9,16.4,0.6
17.5,16,2.6
19.7,22.5,6.6
17,25.5,5.6
17.2,16.3,3.9
12,25.2,-0.6
12,11.5,0.8
11,13.7,3.5
10.3,15.3,0.4
13.4,14.3,1.4
15.7,17.2,6.9
10.3,14.4,1.7
19.4,31.9,5
23.7,29.3,12.1
11.9,16.8,0.7
10.8,17.3,1.5
17,15.8,3.5
21,23.8,8.2
13,14.1,5.9
10.2,8.9,1.9
11.2,21.3,1
12.2,14.1,2.3
14.3,17.8,3.3
8.4,13.4,1.6
16.7,17.7,6.8
12.5,14.6,1.4
13,14.1,4
18.1,24.5,5.6
9.9,15,0
20.5,21.2,5.8
10.8,17.2,0.9
16.6,19.2,2
19.6,27.9,6.3
12.1,18.6,3.1
12.7,24.2,2.9
13.5,27,-0.2
7,16.3,0.1
21.8,19.4,7.9
14,15.6,2.9
19.5,27.3,3
14.8,17.7,3.6
20.2,32.9,3.5
10.7,18.5,1.5
10.3,17,0.5
16,16.7,4
11.4,21.1,1.2
9.6,22.5,0.3
21.9,23.5,7.6
17.2,31.6,5
11,14,3.3
11.6,16.3,2.9
9.5,13.4,0.5
12.9,13.1,4.3
11.7,16.8,1.2
20.4,17.2,7.5
15.8,27.9,2.4
11.5,17.3,1.7
17.3,12.7,5.7
14,18.3,1.5
7.6,17,-0.5
14.6,25.6,0.8
23.5,23.4,2.1
19.3,22.9,8.2
12.2,22,2.6
11.6,15.7,3
12.3,22.1,3.2
11.6,15.9,2
9.4,18.5,0.4
16.8,22.1,1.8
12.4,21.8,0.3
6,16.6,-0.8
13.7,17.9,4.3
11.5,17.9,1.1
8.5,13.2,2.2
9.2,10.9,1
12.2,20,2.6
11.6,14.4,2.3
13,17.8,1.3
11.4,19.5,1.9
30.9,32.3,14.4
8.7,15,0.7
13.9,23.7,1.6
15.6,19,4.9
18.1,19.6,2.8
7.5,24.4,0
31.7,23.2,0.4
12.4,17.5,0.5
10.1,16.6,0.8
12.8,20.9,3.6
14.4,23.2,1
23.5,22.6,6.3
8.3,19.3,-0.1
12,12.9,1
6.3,12.7,0.2
6.7,14.1,0.3
11.8,19.9,1.7
16.1,17.2,2.1
16.3,28.1,1
15.1,21.9,5.9
17,24,0.9
12.1,19.1,4.4
17.9,19.9,2.2
13.5,15.9,3.1
12.8,19.1,2.6
11.7,20.8,0.2
16,24.9,5.1
9.9,15.5,0.4
30.6,40.5,15.2
10.9,17.8,1.5
14.3,17.6,1.1
7.8,10.4,1.8
9.4,15.9,0.5
16.4,22.8,3.3
18.5,15.9,7.6
21.8,20.2,5.9
7.6,13.5,0.1
13.5,22.1,3
15.1,22.1,5
13.6,17.8,3.6
15.4,19.3,2.2
13.8,15.4,7.3
17.3,22.5,5.3
13.5,21.8,2.1
10.8,13.4,1.7
7.2,16.7,0.1
8.5,17.6,0
7.8,18,0
19.8,22.1,6.6
18.6,20,2.2
13.5,17,5.5
13.4,17.5,6
26.1,33.3,8.7
21.8,23.7,6
18,28.8,1.2
13.2,16.1,0.9
12.7,13.8,1.4
13.5,15.2,3.3
24.4,31.4,1.5
13,16.3,4
12.9,16.7,0.5
12.9,13.7,1.6
16.8,27.6,1.8
7.1,10.9,0.6
9.3,13.5,2.1
10.6,23.9,-1.7
9.4,15.4,1.2
14,20.9,5.6
19.4,25.4,5.4
11,12.2,3
21,27.8,6.1
11.2,17.2,0.4
8.9,16.3,0.8
13.9,17,1.3
12.8,20.8,2.8
23.4,24.7,7.8
26.3,28.9,10.4
25.8,30.3,9.5
14.4,18,4.7
16.4,24.7,1.3
21.7,31.5,7.4
21.8,20.4,2.5
9.7,12.3,1.2
11.9,22,0.7
12.9,18.1,4
24.2,29,11.5
10.1,15.7,1.5
8.7,22.3,-1.3
17.3,12.8,6
19.2,14.1,2.8
16.5,25.1,6.1
16.6,25.6,5.3
12.4,20.1,0.6
12.8,12.6,2.7
11.2,18.7,2
14,23.8,3.1
16.5,19.6,6.6
16.8,20.8,1
24.3,29.6,9.1
22.9,26.9,9.3
11.8,20.3,1.1
6.4,12.9,0.1
11.3,15,1.4
10.7,16.1,3.4
18.6,15.5,4.9
17.1,25.1,2.7
25.6,31.6,7.2
11.7,16.9,1.6
21.2,32.4,5.1
19.6,30.5,4.9
11.9,18.1,2.5
14.8,17.9,1.4
17.8,20.7,6.5
14.2,18.7,4.5
11.8,24.6,0.3
16.7,20.7,6
11.9,19.8,2.5
14.2,20.9,4.5
13.1,14.6,5.3
10.8,21.3,-0.1
10.4,18,0.7
10.7,20.7,0
18.9,24.2,3.6
12.6,14.9,3.8
17.8,16.2,5.8
11.5,18.4,0.4
13.2,13.9,3.4
13.1,13.5,3.5
15.8,14.8,3
13.3,15.7,2.5
10.8,12.2,2.9
21.4,27.3,8
12.5,14.3,0.6
8.6,14.4,1.6
13.1,15.1,2.9
14.9,17.8,1.7
16.2,17.1,6.2
23.4,23.5,8.7
10.1,21.7,0.2
18,20,6.3
15.4,16.5,4.5
11.9,11.7,1.4
11.9,13.2,3.7
11.3,16.9,0.3
26.3,27.4,11.8
16.2,20.4,1
25.5,28,10.1
13.9,14.8,3.2
13.3,19,2.4
9.8,15.5,2
12.4,14.9,1.2
15.7,18,1.3
18,21.3,1.1
9.2,9.5,5
18.7,20.8,9.3
13.6,13.3,3.9
11.8,12.2,4.8
8.1,12,1.1
13.2,18.5,3.5
23.3,29.5,11.9
17.9,19.6,6.1
13.2,13.5,0.8
13.1,20.2,1.8
12.1,17.4,1.3
13.5,19,1.1
11.2,16.6,0.7
9.1,13.7,0.7
15.2,24.5,5
14,22.7,3.7
14.7,16.5,1.8
15.9,18.6,2.7
11,18.4,1.6
10.9,16.3,1.1
9.4,15.4,1.9
12.5,21.6,1.2
9,11,3.3
17.5,22.1,4.4
21.1,30.9,6.8
11.6,11.7,3.7
10.7,14.3,0.8
